"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.8709931373596191,1.306493043899536,-0.1927973031997681,0.8709931525457725,1.306493064980661,-0.1927973012669433,15.0,8.0,3369.0,1.582,209484793.0,209484793.0,-7.0
1.224856495857239,1.836594820022583,-0.1931371241807938,1.224856498387015,1.836594840716662,-0.1931371259288105,12.0,10.0,3370.0,2.216,209484798.0,209484798.0,-5.0
2.055618762969971,3.079940795898438,-0.1940617263317108,2.055618819667944,3.079940797292434,-0.1940617257488357,9.0,12.0,3372.0,3.708,209484802.0,209484802.0,-3.0
10.63477039337158,15.92207431793213,-0.3342135846614838,10.63477080098926,15.92207434008464,-0.3342135832739793,3.0,14.0,3374.0,19.15,209484807.0,209484807.0,-1.0
0.4236449301242828,0.6323556303977966,-0.2039494067430496,0.4236449175814479,0.6323556143272316,-0.2039494075407864,35.0,0.0,3382.0,0.788,209484830.0,209484830.0,-15.0
0.4807462096214294,0.7170466780662537,-0.1993066370487213,0.4807461964362134,0.7170466931772604,-0.1993066341486644,19.0,2.0,3384.0,0.886,209484835.0,209484835.0,-13.0
0.5620965361595154,0.838066816329956,-0.1961516439914703,0.5620965605597797,0.8380668158858933,-0.1961516472470881,9.0,4.0,3385.0,1.028,209484839.0,209484839.0,-11.0
0.6803550124168396,1.013621091842651,-0.193352997303009,0.6803549922049258,1.013621084252323,-0.1933529987897253,15.0,6.0,3387.0,1.236,209484844.0,209484844.0,-9.0
0.883296549320221,1.314979672431946,-0.1945034712553024,0.8832965735814114,1.314979681383046,-0.1945034720746154,13.0,8.0,3389.0,1.596,209484848.0,209484848.0,-7.0
1.222370028495789,1.81907844543457,-0.1917426288127899,1.222369984994774,1.819078443078643,-0.191742634044848,12.0,10.0,3390.0,2.2,209484853.0,209484853.0,-5.0
2.066357374191284,3.072746515274048,-0.1940617263317108,2.066357295837516,3.072746584497077,-0.1940617257488357,10.0,12.0,3392.0,3.708,209484858.0,209484858.0,-3.0
9.044594764709473,13.4394998550415,-0.2827638983726502,9.044594684054829,13.4394998264143,-0.2827638890968675,2.0,14.0,3394.0,16.202,209484862.0,209484862.0,-1.0
0.4193646609783173,0.6212657690048218,-0.2008435726165772,0.4193646492622937,0.6212657625555769,-0.2008435789995561,37.0,0.0,3402.0,0.776,209484885.0,209484885.0,-15.0
